text,label
"Polichinelle, dans la nuit, vient pour donner une sérénade à sa maîtresse. Il est interrompu d'abord par des violons, contre lesquels il se met en colère, et ensuite par le Guet, composé de musiciens et de danseurs.",4
AIR du Baiser au porteur.,8
Tous lèvent leur massue.,1
"Elle arrive par la porte de droite, et va d'abord écouter au pan de la cloison.",4
À Robespierre et Danton.,12
Après avoir jeté un coup d'oeil.,0
Elle lui montre son coeur.,0
D'un ton plus bas :,3
Il aperçoit Colombine.,0
Revenant près de Madame_Raquin.,7
"Le Comte relit ce qu'il a écrit, et Pasquin lit la lettre.",0
AIR : De quoi vous plaignez-vous,8
À Thérèse.,12
"Il s'en va très vite. Julien, après avoir pris l'écu et remercié de la tête, sort aussi sans rien dire.",5
À Mlle Lancy.,12
Elle lui jette un masque.,10
Air : J'ai vu partout mes voyages.,8
Il l'entraîne de nouveau.,6
AIR LÉGER.,8
"Octave témoigne au Docteur la joie qu'il avait d'entrer dans sa famille : le Docteur l'en remercie ; mais en même temps il a peur que sa fille Isabelle n'ait point de goût pour le mariage ; et il montre ce couplet, sur l'air : « Tu croyais en aimant Colette ».",9
Elle tourne le billet et l'examine.,0
"Aux prêtres, en leur présentant la coupe.",12
À Ariste.,12
Les deux Gorgones veulent attaquer Persée ; mais la vertu secrète du casque qu'il porte les empêche de le voir.,1
Entre Salviati.,4
Il montre ses enfants.,0
Il est frappé derechef.,1
"Buttler, Isolan et Géraldin sortent.",5
On entend derrière le Théâtre un bruit de tambour.,9
"Les Nymphes, les Bergers et les Bergères reprennent leurs places.",11
Elle va se mettre sous le feuillage.,11
Il les pousse tous les trois.,6
AIR : En revenant de la ville.,8
Il va pour se déshabiller.,10
AIR : N'en demande pas davantage.,8
"Air : Margoton, mamie.",8
Il avale le poison.,1
Elle va regarder par la fenêtre du fond.,0
La tempête s'apaise.,9
Elle tire un poignard de sa manche.,1
"Tandis que la bague produit de prodigieux effets dans l'esprit de cette Sage Reine, qui par un prompt changement accuse la paresse de Ritiger à répondre à son Amour, étant même prête de renoncer a son État, si il pouvait lui disputer le contentement qu'elle espérait en la possession d'un si grand Prince. Et comme elle passe jusques à l'extrémité, l'artifice de Ritiger se découvre par la chute de cet anneau. Ce qui oblige cette Grande Reine à conspirer sa perte.",9
Sort Francine.,5
Second couplet,8
"Air 86 Je fuis un bon Soldat : Ti , ta, ta !",8
I. COUPLET.,8
Auguste la rejoint.,7
Les Ombres chassent le poète avec le manche de leurs balais.,1
Air. Pour voir un peu comment ça f'ra.,8
Avec volubilité.,3
Sifroy rougit et pâlit de fureur à ces paroles.,3
À Madame Leblanc.,12
Air : Je ne sais pas écrire.,8
"Air: Viens, puisqu'il doit en ces lieux.",8
Duparc et Pierrette sortent.,5
Il pleure à sa manière.,3
Il les sépare.,7
À la princesse.,12
Il lui dit encore sur le même air.,8
Air : Nous jouissons dans nos hameaux.,8
Montrant sa veste.,0
Air : À notre bonheur l'Amour préside.,8
Le Capitan seul.,2
"Au moment où elle passe machinalement sa main par la fente de son jupon , pour la porter sur un endroit où une puce la mord.",6
Elle voit Clitandre et Damis.,0
À Alis.,12
Elle baise Eras.,6
À l'Abbé de Rimeville.,12
Pendant cet air le peuple s'assemble et prend les armes.,11
À Éphise.,12
Le Grand Condé écoute.,0
Elle passe la main sur son front.,6
Prenant la lettre.,10
Lui prenant les mains.,6
Elle regarde la première page.,0
"On apporte un drapeau tricolore et des rouleaux de papiers républicains représentant des bonnets, des piques, des cocardes, faisceaux ou table des droits de l'homme, etc.",11
Air : Des olivettes.,8
Air : Enivré du brillant poste.,8
Ils sont quelque temps sans se parler.,3
Il s'approche.,7
Il se remet à écrire.,0
"On joue la Marche de Coresus, sur l'air, Faites décrotter vos souliers.",8
Air : Il faut quand l'Amour nous presse.,8
ENTRÉE,4
"Pendant cette scène, deux domestiques ont apporté une table essentiellement garnie de fruits et de laitage. Gilotin s'empresse d'y prendre place à côté de sa prétendue... On déjeune, tandis que les villageois se livrent au plaisir de la danse.",9
À Céliante.,12
Air 173 : Iris au bord de Seine.,8
Almaviva frappe du pied.,3
Marche des Personnes de la Noce.,8
L'ombre de Geneviève à Sifroy.,8
On lui passe un chapeau.,10
À Vendôme.,12
Il va pour sortir et voit rentrer Pierrette.,5
À Porcius.,12
Puis se tournant de l'autre côté sans que Dorame l'entende.,12
Aux Hurons.,12
Elle prend contre lui toutes les précautions imaginables.,6
"Bradamante se retire pour reprendre haleine, et Roger en fait de même.",5
À Licinius.,12
À part lui.,2
Les deux fées portent une couronne enrichie de diamants.,10
Revenant poser la bûche sur la table.,10
"On reprend les couplets, et la pièce finit.",3
Parlant à Athénaïs.,12
Il sort avec ses prisonniers.,5
Il ramasse son pardessus.,10
"Perillo, en sortant, rencontre Minuccio et échange quelques mots avec lui.",5
Revenant à Marie.,12
"Air 190 : Aimez, charmante Blonde.",8
Salomé entre.,4
AIR : On vit sortir d'une grotte profonde.,8
À Aglaé.,12
AIR. Bouchez. Naïades vos Fontaines.,8
Revenant à Teissier.,7
Même jeu.,0
Furibon sort ; et Thibaut emmène les meuniers.,5
Il se touche la tête.,6
"Le coin de la rue Saint-Honoré et de la rue des Vieilles-Étuves. À droite, la maison de Jean Poquelin, surnommée la Maison des Singes, à cause d'une sculpture grotesque dont elle est ornée.",11
Il court embrasser Oreste.,6
La fée lui donne le flacon.,10
À Louis.,12
"Les Plaisirs, les Amants fortunés, et les Amantes heureuses se retirent.",5
Claudine sort.,5
"Là, [la] Marquise qui se jette avec emportement sur Mademoiselle de Lesbosie, la baise longuement sur la bouche, lui darde cinq ou six fois sa langue entre les lèvres ; elle s'enflamme, n'y tient plus, renverse de nouveau Mademoiselle de Lesbosie sur l'ottomane, jette ses jupes par dessus sa tête. Elle se trouve nue jusqu'au dessus du nombril ; et la Marquise , après l'avoir couverte de baisers sur toutes les parties de son corps ; car elle la tourne et retourne, finit par la gamahucher, en se pâmant d'aise à son tour.",9
Il aperçoit le notaire.,0
Dumont sort.,5
"Air : Pourvu que Colin, ah ! Voyez-vous.",8
Air : Biribi.,0
Se reprenant encore.,10
"Le théâtre change, et représente une campagne, où une rivière forme une île agréable.",11
Léonore sort.,5
"AIR. Suivons l'Amour, c'est lui qui nous mène.",8
Il lui jette le sac.,10
"Air : Jeunes amants, cueillez des fleurs.",8
Il laisse tomber un billet.,10
À Elismène.,12
"Il prend terre et après s'être secoué comme un barbet qui sort de l'eau, il dit:",10
Il prend le chapeau de Valbrun.,10
En la baisant.,6
Il la fait relever.,0
Il parle à une suivante de la Duchesse.,12
Air : Si vous pouviez lui faire quelque pièce.,8
Montrant la corbeille.,0
Changeant de ton.,6
Entrée des jeunes habitants des montagnes et ballet avec les jeunes filles que l'hymen leur destine.,4
À Spengler.,12
Apercevant Nelton.,0
Elle relit.,0
AIR : J'espérais que ma flamme.,8
À Benoît en lui montrant les cartes qui sont sur la table.,12
AIR. À l'ombre de ce verd boccage.,8
"Air, Allons à la Guinguette, allons.",8
Avec élan.,3
AIR : La faridondaine.,8
Ils se quittent.,5
AIR : Que j'estime mon cher voisin !,8
Voyant que son oncle désapprouve.,0
"Il s'occupe à munir son coffre de provisions. Il y met du fromage, des cervelats, du vin etc. jusqu'à un pot de chambre. À peine y-a-t-il mis toutes ces choses, qu'il arrive chez lui des Archers pour le prendre. Il se jette dans la machine en disant :",9
Remontant vers le fond en passant devant la table de droite.,11
Elle passe entre Dalbans et Molière.,7
À demi-voix et sans être entendue de Julie.,3
À Messieurs le Marquis et l'abbé de Livry.,12
Alidor lit la lettre entre les mains d'Angélique.,0
"La scène représente l'appartement de Florville, aussi dénué que celui de Béverley, avec de vieux tableaux.",11
"Pendant ces dernières répliques, Madame de Verneuil a organisé plusieurs jeux dans le fond. - La contredanse se fait entendre ; plusieurs cavaliers, prennent la main des dames et passent au salon. Guerland se perd dans un groupe.",9
Il sort avec son guide.,5
Toutes les dames regardent soudain le visage du Chambellan.,0
Madame Chevalier ne répond pas.,3
Médée s'enfuit voyant Thésée reconnu par son père.,5
À Nicodon qui entre.,12
Frontin cause avec les autres...,12
Lisidas paraît.,4
Il veut encore prendre son épée.,1
"Un bureau d'agent de change. Beaucoup de mouvement et d'animation. Commis légers, gamins et sans scrupules. Ils jouent à la Bourse et entretiennent des femmes. Charpentier pour eux est resté un niais, un piocheur, un commis d'autrefois qui couche avec sa blanchisseuse. Ils ne savent rien. Arrivée de Mme Charpentier. Elle ne se nomme pas. Elle veut voir le patron. On se moque d'elle.",9
Le Chevalier sort du cabinet,5
À Turenne.,12
Ils sortent,5
À Ninon.,12
Air : Les yeux baissés par modestie. N° 5.,8
Elle s'éloigne.,7
Il continue.,1
Il se lève et se promène en chantant.,0
Il lui frappe sur l'épaule.,6
Il tâche encore de prendre la lettre.,10
Elle regarde à sa montre.,0
"Air Italien, chanté par un Indien qui a conduit l'Amour et la Jeunesse.",8
À Phénice.,12
Air : Je donnerais les revenus.,8
"Alcandre et Geraste prennent chacun un bras d'Elomire, et lui tâtent le pouls.",6
Les dix statues de bronze qui servent de supports au berceau commencent à remuer.,0
"Les masques entrent, qui occupent toute la place.",4
Ariste sort.,5
Menaçant Claudine.,1
"AIR : Lise, entends-tu l'orage ?",8
AIR : Des fraises.,8
Toutes les battent.,1
On entend des éclats de rire.,3
Le second Colporteur sort.,5
AIR : On dit que le mariage.,8
"Il signe, ainsi que Nicolas et Fanchette. Six jeunes filles apportent un bouquet et un guirlande. Fanchette se met à genoux ; deux jeunes filles chantent un duo du temps, tandis qu'on place la couronne sur la tête de la mariée ; la Comtesse et le Comte la relèvent, la prennent chacun par une main et sortent avec elle, tout le monde les suit.",9
Entre la Bonne.,4
Les Francs-Maçons sortent conduits par les deux surveillants.,5
Il ouvre une fenêtre.,0
En montrant le Marquis.,0
Tirant un poignard.,1
Air : Pierrot sur le bord d'un ruisseau.,8
Adélaïde sort.,5
Il regarde sa Statue.,0
"Gilles tire la porte, et ferme avec la clef.",10
Judith paraît.,4
Pharnace sort avec Émile et les Citoyens de Sinope.,4
À Eglé.,12
"Tandis que les Gardes lui tirent la pertuisane, le Capitaine monte vers Camille, qui l'attend le pistolet et l'épée à la main sur le haut se l'escalier.",1
En montrant Icare.,0
À Argant.,12
Tirant le double louis qu'il a reçu d'elle.,10
"Le théâtre représente les portiques d'un temple, des tours sur les côtés, des cyprès sur le devant.",11
Apercevant entrer Élise.,0
À Monsieur de Montchesne.,12
Elle ouvre les tablettes.,0
En frappant de sa gaule sur sa jambe par bravade.,1
Elle tire une bague de son doigt.,10
Allant à Lisette.,7
Il veut tirer son poignard.,1
La scène change et représente une prairie où de loin paissent des moutons.,11
AIR : Berger d'Amphrise.,8
Il va pour dénouer le sac.,0
L'avocat écrit.,0
Prenant le livre.,10
À Madame Dorville.,12
MADRIGAL EN VERS PRÉCIEUX.,8
Ici est bandé Issac.,0
Buvant.,0
Air: Cela m'en bien dur.,8
Il sort de la fenêtre.,5
"Le Théâtre représente un salon et un cabinet sur le devant de la scène, dispose de façon à laisser voir au public ce qui s'y passe.",11
Lui présentant sa lettre.,10
À Cassie.,12
Il lui rend celui qu'il tient.,10
Elle crie.,3
"Rentre Teissier par la porte de gauche, Blanche derrière lui.",4
Elle va essayer le chapeau devant la glace ; puis revient vers la table.,10
"L'officier Français, suivi d'une partie de sa troupe et quelques villageois, encore armés, ramènent le neveu triomphant. À sa vue, Mademoiselle de Saint-Yves reprend toutes ses forces ; il approche, les deux femmes courent ensemble embrasser le vainqueur ; il est au comble de la joie, et fait hommage à sa maitresse d'un drapeau qu'il a enlevé lui-même à l'ennemi.",9
"Le théâtre représente l'intérieur d'un château fort ; sur le devant est une terrasse ; elle est entourée de grilles de fer, et cette terrasse est disposée de façon que Richard, lorsqu'il y est, ne peut voir le fond du théâtre, qui représente un fossé, revêtu extérieurement d'un parapet ; c'est sur la terrasse que paraît Richard, et c'est sur le parapet que Blondel est vu.",11
Elles sortent toutes deux par des portes opposées.,5
Dorine sort.,5
À Isménie.,12
À Émilie.,12
Se relevant vivement.,0
"À gauche, le logis de M. Astringent. Le théâtre portatif d'un marchand d'orviétan s'élève au fond de la scène.",11
On entend les violons.,8
Elle veut rentrer dans l'auberge.,5
Reprenant tout-à-coup le ton sérieux.,3
Air : Je mentirai toute ma vie.,8
Ils s'assoient l'un près de l'autre.,0
"On tire un rideau, et Cléopâtre parée, est sur un beau lit, Eras à ses pieds.",11
Les matelots vont boire des eaux du fleuve pendant son récit.,0
Il menace Clabaud du doigt.,1
AIR de Théniers.,8
On entend un bruit dans la coulisse.,0
"La princesse continue, après que la confidente a lu.",3
Il tire un mouchoir de sa poche.,10
À Du Rimet.,12
Il reconduit le Comte.,6
Montrant Lucinde.,0
OEnone sort.,5
TRADUCTION DE L'AIR ITALIEN.,8
Il continue en marchant.,7
Il va lui-même à un de ses gens.,7
Lui donnant deux pistoles.,10
Il sanglote.,3
Il se fait un grand bruit en-dehors.,9
"Air : tampons, tampons.",8
Embrassant sa fille.,6
Dorante s'écarte un peu.,7
Elle s'approche.,7
À son mari.,12
AIR. ( Du Cap de Bonne Espérance. ),8
À Achille.,12
Il montre son frère.,0
"Madame Lépine, après avoir lu, et froidement.",0
Il met l'épée à la main.,0
Air. Les filles de Montpellier.,8
À Lisette.,12
Avec éclat.,3
Feignant de reprendre sur la lettre.,10
À Blépharon.,12
Elle sort par la porte latérale à droite.,5
Montrant Pierrot.,0
À Pégase.,12
Air 2O1. Marche des Dragons.,8
Essayant de reprendre quelque calme.,3
Il le lâche.,10
Marinette les lui donne.,10
À Mélite.,12
En montrant Diane.,0
Autres Romains en regardant le corps dont ils sont proches.,0
Les Gardes sortent.,5
BRANLE.,8
"L'intérieur d'une boutique de marchand tapissier. Meubles, sièges, étoffes, çà et là. Au fond, à côté d'un escalier qui donne accès à l'étage supérieur, grand vitrage et porte d'entrée sur la rue. Portes latérales, deux à gauche, une à droite.",11
Levant les yeux et apercevant Girolamo devant lui.,0
Mettant la main sur son estomac.,6
À Phédrie et à sa troupe :,12
Orgon embrasse Clarice.,6
Durant ce temps Clitandre et Élise sont assis sans parler.,0
Elle s'écarte.,7
En la retenant.,6
"Pendant le dialogue de Dercour et d'Éléonore, Henri et Perrine se sont ôtés du milieu, et vont à la droite ; Jeannette et Mascarille sont à la gauche.",11
Il embrasse Monsieur Mathieu.,6
Marche guerrière.,8
Arrangeant les dames.,10
Monsieur Dubois se lève.,0
À Tamerlan.,12
Mademoiselle Aubry rit aux éclats.,3
La Fleur se place sur un siège au coin du théâtre.,11
"Elle sort d'un côté, et Périandre vient de l'autre.",5
"Air : Ton humeur est, Catherine.",8
AIR À DANSER.,8
"Il se dirige vers le talus, et aperçoit Emile qui continue à dormir lourdement.",11
"Son amante, éplorée, lit l'arrêt du coupable dans les yeux de son père, et détourne la vue, en cachant sa figure avec ses mains. Monsieur de Saint-Yves ordonne à l'officier de saisir le ravisseur. Kerkabon se lève, pour obéir de lui-même à cet ordre ; sa maîtresse s'y oppose : l'oncle et la tante gémissent à part d'un acte de rigueur, que l'imprudent neveu n'a que trop mérité.",9
Il lui présente une lettre.,0
Le théâtre représente un des carrefours de la Foire.,11
Il la veut mettre entre les mains de Rodolphe.,10
Vers Mars.,12
À Staphyla.,12
Air : Je jure par tes yeux.,8
À Juba.,12
Elle aperçoit Mainfroi.,0
Molière entre par la droite et s'avance gravement et avec beaucoup de dignité vers Montespan qui recule un peu surpris.,4
Il le lève avec fureur.,0
Même air que le Couplet précédent.,8
À Monsieur Griffet.,12
Lui montrant une autre lettre.,0
Il porte la main à sa chaîne d'or.,10
"Apollon chante l'air qui a pour refrain : ""Ne m'entendez-vous pas ?"" et finit par prononcer le refrain : Ne m'entendez-vous pas ?",3
On entend un concert de deux flûtes traversières accompagnées d'un basson.,8
En prenant le billet.,10
À Armande.,12
"Thécla sort avec Tersky et tous les autres, excepté Buttler et Isolan.",5
Il le saisit par le bras.,6
Au domestique qui entre.,12
Hippolite sort.,5
"Le théâtre représente le champ antique de Zerdoust, où se faisait l'inauguration des rois de la BActriane. Il est entouré de rochers, coupé de prairies, et borné dans le fond par la chaîne de montagnes, qui sépare cette partie de l'Asie, de l'Indostan/",11
À Gusmand.,12
Air : Vaudeville des Veuves.,8
Entre un valet.,4
Montrant Pierrette.,0
"Dans le temps que les deux Africains veulent puiser de l'eau, le Dragon s'élance sur eux, et les entraîne.",9
Il crie de toute sa force.,3
Elle prend les flacons couleur de rose.,10
Criant tout bas.,3
Il entre dans le logis.,5
À Marchavant.,12
AIR. Diablezot.,8
Montrant le bras en écharpe.,0
"Il appuie une main sur l'épaule du Baron, et l'autre sur sa tête ; après un instant il continue.",6
Le couvre-feu sonne.,0
"Timante, Hortense et Marinette sortent.",5
Se précipitant le front contre terre.,0
"Air : En deux moitiés, dit-on le sort.",8
Air 32 : Du haut eu bas. Rondeau.,8
AIR : Ô Reguingué.,8
Victor et Clémence s'embrassent.,6
AIR : Tout au beau milieu des Ardennes.,8
Elle tombe dans les bras de Fanie.,0
Le roi est amené par des sans-culottes armés.,7
Il tombe endormi.,0
À Don César.,12
Aux prêtresses.,12
Don Carlos sort.,5
Il montre la manne.,0
Coup de cymbales à l'orchestre.,8
Il se frappe.,1
À Clairance.,12
Air : Vaudeville du jaloux malade.,8
On tire les rideaux de la prison.,11
Maître Bernard et Minuccio paraissent sur le seuil de la maison.,4
Air Noté N° II.,8
Il pèse le rouleau dans ses mains.,0
Regardant le portrait.,0
"Il se met à chanter, air de Faust.",3
AIR : Mon cheval qui galopait encore.,8
Entrée de deux Officiers et d’une Paysanne.,4
"Le théâtre change, et représente une place publique, au milieu de laquelle est un bûcher.",11
À la Baronne.,12
À Jean Bonnin.,12
La Scène est dans la Prison.,11
À l'orfèvre.,12
À Pauline.,12
Air. On dit que vous aimez les fleurs.,8
Il se revêt de l'habit du Comte.,10
À Déjanire.,12
"Au milieu de la réjouissance générale la Bergère, Iris, ne peut s'empêcher de se plaindre de la passion dont elle est touchée, et de porter envie à l'insensibilité des Rochers qu'elle voit dans la Grotte de Versailles.",9
"Les enfants se serrent contre leur papa, qui retire aussi ses jambes et continue avec la voix moins assurée.",7
"Le quatrième n'ayant heureusement chassé dans les bois, se présente avec un harpon en main, et après ses excuses faite, dit qu'il s'en va à la pêche.",9
"Rentrée de Charpentier père ; il trouve la lettre, la lit et tombe mort.",9
"Cependant les garçons rangent les meubles, préparent la salle.",11
Achevant de lire tout bas.,0
À Silène.,12
À la Critique.,12
À Valère et à Henriette.,12
À Scapin.,12
VI,8
Donnant une lettre à Ribercour.,10
"Cet endroit de la prison se remplit de prisonniers délivrés et de soldats libérateurs. On a enfoncé toutes les portes. Ils s'embrassent. On entend à différents intervalles les cris de vive Henri, vive Henri ! Mêlés du bruit des tambours et des trompettes. Prisonniers Et Soldats, s'embrassant dans la prison avec âme.",9
L'apothicaire pousse sa pointe.,6
En le montrant de la main.,0
Il lui baille quelles pierreries.,10
AIR : Le bon branle.,8
"Quand il est à son bureau, il dit.",11
Avec passion.,3
Menuet d'Hésione.,8
AIR : Je voudrais bien détaler.,8
Au Soldat.,12
À Piracmon.,12
"Le théâtre représente la capitale du Barostan, avec son Port de Mer.",11
À Tronquay. Portant sa boîte à couleurs sur le guéridon.,12
Aux siens.,12
"Polichinelle, continue à demander à Mademoiselle plusieurs sortes de drap, et elle continue à lui répondre :",12
"Elle lui enlève son chapeau, la recoiffe et la rajuste.",10
Le théâtre représente une campagne coupée par le fleuve de la Seine.,11
"Il est touché plusieurs fois de suite, et se plaint de ce que son rival tire toujours du côté opposé à sa parade, ils changent de place ; même affront. Gilotin se lasse des bottes simples, et veut tirer à toutes feintes : il est encore plus maltraité ; enfin, profitant d'un moment où le jeune Kerkabon veut bien le ménager, il s'enhardit, pousse botte sur botte, avec obstination, se démène le corps et les bras.... On entend un grand roulement de tambour ; le faux brave, tremblant de tout son corps, abandonne le fleuret, et court se cacher entre les deux femmes.",9
Azakia hésitante.,3
"Après quelques temps détachés, quelques développements exécutés avec grâce et précision, par la maîtresse, imités avec série, mais d'une manière chancelante par l'écolier, on passe aux enchaînements, et de suite au genre de danse le plus agréable.",9
"AIR : Vous me grondez, etc.",8
Air. Menin qu'était plus fort.,8
"La muse Polymnie qui préside aux Arts dépendant de la Géométrie, et qui a trouvé l'invention d'introduire sur le théâtre des personnages qui expriment par les actions et par les danses ce que les autres expliquent par des paroles, s'avance environnée d'un nuage qui paraît d'abord fermé, et qui s'ouvrant peu à peu découvre la Muse au milieu de plusieurs ornements de peinture et d'architecture. Elle excite ceux qui ont commencé de chanter d'une manière comique à rechercher avec soin tout ce qui l'on peut retrouver de plus noble et de plus délicat dans le chant.",9
Merlin sort.,5
Air Noté n°3.,8
Air : Lorsque vous verrez un amant.,8
AIR. Que le mal de dents.,8
"À Monsieur Mathieu, au commissaire et au notaire.",12
Le théâtre change et représente l'appartement de la Reine.,11
Il met encore un rouleau de vingt-cinq louis sur la table.,10
AIR. Le masque tombe.,8
César s'assied.,0
"Le mousse prend un cordage fin et long et en donne un bout à La Béjart et l'autre à Molière. Tout en dansant et en saluant, ils procèdent à l'attachement de La Forest qui ne bouge pas. Puis, ils font l'inverse et saluent profondément en regardant leurs chaussures. La musique s'arrête. On n'entend plus le canon. Le chef indien salue, fait signe au second de repartir. Les deux se retirent. Les comédiens et matelots restent un moment dans leur pause de révérence.",9
"Le fiacre franchit des obstacles, disperse des piétons aux épaules rondes, et les lumières, lancées comme des boules de feu, éclatent sur ses vitres et s'éteignent.",9
À Julie.,12
AIR. ( Je n'en veux pas davantage. ),8
Il montre l'imprimeur.,0
Il tire une toilette où est encore une robe de chambre.,10
"Elle anime les Femmes sur une musique plus douce et plus légère. Les Hommes dont les sens sont aussitôt frappés à la vue des femmes, courent à elles avec tout le feu des désirs. Elles se défendent de leurs caresses et les repoussent avec modestie et fierté. On voit arriver quatre petits amours qu'on reconnaît à leurs ailes ; le premier a le casque et la cuirasse ; le second la perruque carrèe et la robe de magistrat ; le troisième est doré comme Plutus, et le quatrième n'a qu'une petite perruque ronde avec un petit manteau noir sur l'habit couleur de chair des amours. Ils s'approchent des femmes et leur présentent des guirlandes de fleurs d'un air soumis et respectueux. Ils reprochent ensuite aux hommes, par leurs gestes et leur danse pittoresque, leurs manières vives et brusques, et finissent par leur enseigner la façon dont ils doivent s'y prendre pour plaire et se faire aimer. Les hommes instruits par les amours se mettent aux genoux des femmes qui les enchaînent avec les guirlandes.",9
Air 11. On n'aime point dans nos forêts.,8
"Les jeux, les plaisirs et les grâces paraissent.",4
"Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois.",9
Il montre le pistolet.,1
Il tire une Lettre.,10
Air : Le premier jour du mois de mai,8
Isabelle entre dans un petit cabinet.,5
Deux bannis montent sur une plate-forme d'où l'on découvre la ville.,7
À Monsieur du Cap-Vert.,12
Il lui fait sauter son chapeau.,1
AIR : La béquille du p7re Barnaba.,8
Au petit Dulac.,12
Carlos sort.,5
Ils reprennent leur marche en inclinant vers la droite ; Marie se dégage et s'éloigne.,7
Il va à la perruque du Président.,7
Air 201 : Je me plaignais d'une inhumaine.,8
Air : Laissez paître vos bêtes.,8
À Mannius.,12
Doligni va pour faire avancer son fils.,6
Air : Vaudeville des Visitandines.,8
À Conille.,12
Elle met un genou en terre.,0
À un Laquais.,12
En montrant Frédéric.,0
À Porus.,12
